https://t.bilibili.com/431412443935685906  2020-09-27 18:00:00  1st: swichlite , 2nd:  , 3rd:  
https://t.bilibili.com/438074354821194906  2020-09-29 12:00:00  1st: 美心流心月饼 , 2nd: 折腾吃货礼包 , 3rd: 400元红包 
https://t.bilibili.com/438446487963745651  2020-09-29 12:00:00  1st: 《黑暗之魂》系列盲盒 , 2nd:  , 3rd:  
https://t.bilibili.com/437847717989464467  2020-09-29 13:00:00  1st: 919会员购三周年限定游戏键鼠礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/437832071421413368  2020-09-29 17:00:00  1st: vivo WATCH , 2nd:  , 3rd:  
https://t.bilibili.com/438483772579207455  2020-09-29 20:00:00  1st: 提督大礼包 , 2nd: 舰长中礼包 , 3rd: 舰长小礼包 
https://t.bilibili.com/433335519836268817  2020-09-30 00:00:00  1st: 1k元开学大礼包 , 2nd:  , 3rd:  
https://t.bilibili.com/433335519836268817  2020-09-30 00:00:00  1st: fab礼盒 , 2nd: 科颜氏安白瓶 , 3rd: 蕉下渔夫帽orisdin防晒 
https://t.bilibili.com/431854078242352206  2020-09-30 00:00:00  1st: 1000元现金红包 , 2nd: 100元现金红包 , 3rd:  
https://t.bilibili.com/436696606624356601  2020-09-30 00:00:00  1st: GSC『时崎狂三』粘土人 , 2nd: 年度大会员 , 3rd:  
https://t.bilibili.com/437393757126460329  2020-09-30 00:00:00  1st: 温迪角色立牌 , 2nd:  , 3rd:  
https://t.bilibili.com/437393757126460329  2020-09-30 00:00:00  1st: 日版Switch + 塞尔达 , 2nd: air pods 2代 , 3rd: 年度大会员 
https://t.bilibili.com/430658277737038456  2020-09-30 01:45:00  1st: 给现金3900 , 2nd:  , 3rd:  
https://t.bilibili.com/430658277737038456  2020-09-30 01:45:00  1st: 128G Ipad , 2nd:  , 3rd:  
https://t.bilibili.com/429648281817312924  2020-09-30 01:56:00  1st: RGO粉色键盘 , 2nd: ROG粉色鼠标、耳机 , 3rd: ROG粉色鼠标垫、RGB鼠标垫、粉色抽纸 
https://t.bilibili.com/429648281817312924  2020-09-30 01:56:00  1st: 官方小电视抱枕*1 , 2nd: 官方周边口罩*1 , 3rd:  
https://t.bilibili.com/429649029145821411  2020-09-30 03:33:00  1st: Switch或ps4pro可折现 , 2nd:  , 3rd:  
https://t.bilibili.com/429649029145821411  2020-09-30 03:33:00  1st: 亲笔签名色纸 , 2nd:  , 3rd:  
https://t.bilibili.com/435821958002692212  2020-09-30 04:02:00  1st: 索尼PS5游戏机 , 2nd:  , 3rd:  
https://t.bilibili.com/435821958002692212  2020-09-30 04:02:00  1st: AOC电脑显示器 34英寸21:9带鱼屏 , 2nd: bilibili官方泡面碗 , 3rd:  
https://t.bilibili.com/430749945224572742  2020-09-30 06:00:00  1st: 100元红包/中奖填支付宝和姓氏 , 2nd:  , 3rd:  
https://t.bilibili.com/430749945224572742  2020-09-30 06:00:00  1st: NS游戏机 , 2nd: 666元现金红包 , 3rd: 100元现金红包 
https://t.bilibili.com/430749945224572742  2020-09-30 06:00:00  1st: 航海王盲盒实物奖励 , 2nd: 精致宝石袋*2 金块10万 , 3rd:  
https://t.bilibili.com/438979935792047428  2020-09-30 08:00:00  1st: 阿玛尼大师粉底液&气垫 , 2nd:  , 3rd:  
https://t.bilibili.com/438812483601938368  2020-09-30 09:00:00  1st: 一年大会员 , 2nd:  , 3rd:  
https://t.bilibili.com/438812509371742242  2020-09-30 09:30:00  1st: 《通感纪元》周边文件夹 , 2nd:  , 3rd:  
https://t.bilibili.com/435150341083404035  2020-09-30 10:00:00  1st: 2020CICF漫展电子门票 , 2nd:  , 3rd:  
https://t.bilibili.com/437751484945410772  2020-09-30 10:00:00  1st: 会员购三周年限定游戏键鼠礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/438901548343397660  2020-09-30 10:00:00  1st: 朔望之证一份 , 2nd:  , 3rd:  
https://t.bilibili.com/438058446261190132  2020-09-30 10:00:00  1st: 小电视抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/436674362982308500  2020-09-30 11:00:00  1st: 傲风宝可梦联名款电竞椅 , 2nd:  , 3rd:  
https://t.bilibili.com/439166878533792733  2020-09-30 11:00:00  1st: 爱蜜莉雅 披风 , 2nd: 魔卡少女樱 红色手账礼盒 豪华版 , 3rd: 文豪野犬 太宰治 火漆印章蜡粒礼盒套装 
https://t.bilibili.com/434789744224244688  2020-09-30 12:00:00  1st: 哔哩哔哩行李牌（33款） , 2nd: 小电视鼠新年毛绒挂件 , 3rd: 哔哩哔哩学业成就祈愿御守（33款） 
https://t.bilibili.com/436581707657458168  2020-09-30 12:00:00  1st: 花泽香菜、上坂堇、佐仓绫音共5人签名色纸 , 2nd: 20名主要声优签名海报 , 3rd:  
https://t.bilibili.com/436577215122679569  2020-09-30 12:00:00  1st: 微星RTX3080魔龙 , 2nd:  , 3rd:  
https://t.bilibili.com/435977302676726517  2020-09-30 12:00:00  1st: 王者荣耀129以下皮肤任选 , 2nd:  , 3rd:  
https://t.bilibili.com/437821286755323554  2020-09-30 12:00:00  1st: 大会员 , 2nd:  , 3rd:  
https://t.bilibili.com/436577215122679569  2020-09-30 12:00:00  1st: 贝尔法斯特手办（出货后寄出） , 2nd:  , 3rd:  
https://t.bilibili.com/438051484118128489  2020-09-30 12:00:00  1st: 加藤惠 色纸等周边 , 2nd: 加藤惠 桌垫等周边 , 3rd:  
https://t.bilibili.com/436577215122679569  2020-09-30 12:00:00  1st: 微星魔龙RTX3080 , 2nd:  , 3rd:  
https://t.bilibili.com/438085036406000525  2020-09-30 12:00:00  1st: 小电视抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/438120753353147342  2020-09-30 12:00:00  1st: 中秋月饼礼盒 , 2nd: 100红包 , 3rd:  
https://t.bilibili.com/438236459769599664  2020-09-30 13:00:00  1st: 919会员购三周年特别纪念版 鼠标垫 , 2nd:  , 3rd:  
https://t.bilibili.com/438063656059687980  2020-09-30 13:00:00  1st: 2233Q版盒蛋 分区精选 整盒 , 2nd:  , 3rd:  
https://t.bilibili.com/431046508421456293  2020-09-30 14:00:00  1st: Mega Drive Mini , 2nd:  , 3rd:  
https://t.bilibili.com/437332270369165384  2020-09-30 14:00:00  1st: 温迪角色立牌 , 2nd:  , 3rd:  
https://t.bilibili.com/432637604826275531  2020-09-30 15:00:00  1st: 宙斯美容仪 , 2nd: 99期间croxx免单 , 3rd: 彩妆礼盒 
https://t.bilibili.com/436955116404591445  2020-09-30 15:00:00  1st: PS5 蓝光版 , 2nd: ps4 pro , 3rd: switch 
https://t.bilibili.com/432637604826275531  2020-09-30 15:00:00  1st: 化妆刷一支 , 2nd: 化妆刷一支 , 3rd: 化妆刷一支 
https://t.bilibili.com/432638627030594235  2020-09-30 15:10:00  1st: 化妆刷一支 , 2nd: 化妆刷一支 , 3rd: 化妆刷一支 
https://t.bilibili.com/432638627030594235  2020-09-30 15:10:00  1st: 完美日记白胖子卸妆水 , 2nd:  , 3rd:  
https://t.bilibili.com/438487006691690801  2020-09-30 15:11:00  1st: 遗忘之海 , 2nd:  , 3rd:  
https://t.bilibili.com/429314558568255508  2020-09-30 15:15:00  1st: 猫耳耳机qwq , 2nd:  , 3rd:  
https://t.bilibili.com/429314558568255508  2020-09-30 15:15:00  1st: RGO粉色键盘 , 2nd: ROG粉色鼠标、耳机 , 3rd: ROG粉色鼠标垫、RGB鼠标垫、粉色抽纸 
https://t.bilibili.com/432639705067391351  2020-09-30 15:20:00  1st: 化妆刷一支 , 2nd: 化妆刷一支 , 3rd: 化妆刷一支 
https://t.bilibili.com/433773228537881097  2020-09-30 15:25:00  1st: 哈曼卡顿音箱owo , 2nd:  , 3rd:  
https://t.bilibili.com/434448015151383748  2020-09-30 17:00:00  1st: 塔罗系列亚克力立牌 , 2nd:  , 3rd:  
https://t.bilibili.com/439245016875336249  2020-09-30 17:00:00  1st: 选手签名照 , 2nd:  , 3rd:  
https://t.bilibili.com/430682286604361511  2020-09-30 18:00:00  1st: switch一台 , 2nd: 333元过节费（私信zfb帐号） , 3rd:  
https://t.bilibili.com/432531811193507255  2020-09-30 18:00:00  1st: 50套王者荣耀廉颇6元新皮肤 , 2nd:  , 3rd:  
https://t.bilibili.com/436951323952646087  2020-09-30 18:00:00  1st: 纪念贝多芬诞辰250周年大展展票1张 , 2nd:  , 3rd:  
https://t.bilibili.com/430682286604361511  2020-09-30 18:00:00  1st: iQOO Z1 , 2nd:  , 3rd:  
https://t.bilibili.com/437481030860350877  2020-09-30 18:00:00  1st: 100元京东卡 , 2nd:  , 3rd:  
https://t.bilibili.com/438041219145217135  2020-09-30 18:00:00  1st: 七濑胡桃永久粉丝套装 , 2nd:  , 3rd:  
https://t.bilibili.com/435568636536658456  2020-09-30 18:08:00  1st: 5200rmb 十人分 , 2nd:  , 3rd:  
https://t.bilibili.com/438938755645349585  2020-09-30 18:18:00  1st: 《我的青春恋爱物语果然有问题。完》大海报 , 2nd:  , 3rd:  
https://t.bilibili.com/436224993444591961  2020-09-30 18:30:00  1st: 《物理学“中二”指南》 , 2nd:  , 3rd:  
https://t.bilibili.com/429278927518207181  2020-09-30 19:36:00  1st: 衣服 , 2nd:  , 3rd:  
https://t.bilibili.com/429278927518207181  2020-09-30 19:36:00  1st: 吊坠 , 2nd:  , 3rd:  
https://t.bilibili.com/419627685031053254  2020-09-30 20:30:00  1st: 努比亚α腕机（以实物为准） , 2nd:  , 3rd:  
https://t.bilibili.com/419627685031053254  2020-09-30 20:30:00  1st: 魅族17 Pro(以实物为准) , 2nd: 大家测玩具（价值100） , 3rd: 大家测玩具（价值50） 
https://t.bilibili.com/438206098647683639  2020-09-30 20:56:00  1st: 361°高达SEED Destiny联名 , 2nd:  , 3rd:  
https://t.bilibili.com/433325241977369366  2020-09-30 22:00:00  1st: 图中口红任选一支 , 2nd:  , 3rd:  
https://t.bilibili.com/433325241977369366  2020-09-30 22:00:00  1st: 辛芷蕾可爱涂鸦小电视1个 , 2nd:  , 3rd:  
https://t.bilibili.com/433616466530796161  2020-09-30 23:59:00  1st: 《咖喱之歌》主演签名 , 2nd:  , 3rd:  
https://t.bilibili.com/433616466530796161  2020-09-30 23:59:00  1st: CATTA全自动猫砂盆 , 2nd: 无尘膨润土猫砂 , 3rd:  
https://t.bilibili.com/433616466530796161  2020-09-30 23:59:00  1st: 我的机器人是女友 电影票 1张 , 2nd:  , 3rd:  
https://t.bilibili.com/434503652154903745  2020-09-30 23:59:00  1st: 台历 , 2nd:  , 3rd:  
https://t.bilibili.com/438499410556236910  2020-09-30 23:59:00  1st: 遗忘之海 , 2nd:  , 3rd:  
https://t.bilibili.com/438559295280245654  2020-09-30 23:59:00  1st: 中秋月饼礼盒 , 2nd: 100红包 , 3rd:  
https://t.bilibili.com/429974527536382694  2020-10-01 00:00:00  1st: realme真我X7 , 2nd:  , 3rd:  
https://t.bilibili.com/433290302415100783  2020-10-01 00:00:00  1st: NS游戏机 , 2nd: 666元现金红包 , 3rd: 100元现金红包 
https://t.bilibili.com/433290302415100783  2020-10-01 00:00:00  1st: 嘉哥自组1500元闷包（2鞋2衣2配件） , 2nd: 嘉哥自组1200元闷包（2鞋1衣1配件） , 3rd: 嘉哥自组800元闷包（1鞋1衣1配件） 
https://t.bilibili.com/438786069554033217  2020-10-01 00:00:00  1st: 交大定制版月饼—蜂蜜香柚、蛋黄莲蓉味 , 2nd:  , 3rd:  
https://t.bilibili.com/429722464498217872  2020-10-01 00:18:00  1st: Iphone12pro max顶配 , 2nd:  , 3rd:  
https://t.bilibili.com/431078067846544515  2020-10-01 04:15:00  1st: AirPods Pro*1 , 2nd: 人民币500元 , 3rd: 人民币100元 
https://t.bilibili.com/431078067846544515  2020-10-01 04:15:00  1st: 哔哩哔哩鼠标垫 , 2nd:  , 3rd:  
https://t.bilibili.com/431041491898580926  2020-10-01 07:30:00  1st: 爱马仕经典方巾 , 2nd:  , 3rd:  
https://t.bilibili.com/431041491898580926  2020-10-01 07:30:00  1st: 128G Ipad , 2nd:  , 3rd:  
https://t.bilibili.com/434379699395008508  2020-10-01 10:00:00  1st: 哔哩哔哩幻星集亚克力挂件4款 , 2nd:  , 3rd:  
https://t.bilibili.com/434379699395008508  2020-10-01 10:00:00  1st: 《剑网3·双星记》门票 , 2nd:  , 3rd:  
https://t.bilibili.com/436634394020617995  2020-10-01 10:00:00  1st: 全套塔罗牌+卡册 , 2nd:  , 3rd:  
https://t.bilibili.com/439256991244225685  2020-10-01 10:00:00  1st: RTX3090抽奖 , 2nd:  , 3rd:  
https://t.bilibili.com/435551598405497844  2020-10-01 10:01:00  1st: dji 手持稳定器 , 2nd:  , 3rd:  
https://t.bilibili.com/435551598405497844  2020-10-01 10:01:00  1st: 5人平分1000元红包 , 2nd:  , 3rd:  
https://t.bilibili.com/439168214268627834  2020-10-01 11:00:00  1st: 会员购666代金券 , 2nd:  , 3rd:  
https://t.bilibili.com/433227192169582278  2020-10-01 12:00:00  1st: 零食礼包 , 2nd:  , 3rd:  
https://t.bilibili.com/439185879468187420  2020-10-01 12:00:00  1st: 五双鞋子两个人平分！ , 2nd: 五百红包5个人一人一百 , 3rd:  
https://t.bilibili.com/438508052028369457  2020-10-01 12:00:00  1st: 哔哩哔哩电竞傲风联名电竞椅 , 2nd:  , 3rd:  
https://t.bilibili.com/433616419285106998  2020-10-01 12:12:00  1st: 10400f 散片 , 2nd:  , 3rd:  
https://t.bilibili.com/438603559213405244  2020-10-01 13:00:00  1st: 《只狼 官方艺术设定集 》平装版 设定集 , 2nd:  , 3rd:  
https://t.bilibili.com/438077906754989776  2020-10-01 14:39:00  1st: 假面骑士圣刃腰带+特典 , 2nd:  , 3rd:  
https://t.bilibili.com/437298224167475361  2020-10-01 17:00:00  1st: 铁三角SR30BT联动款耳机 , 2nd:  , 3rd:  
https://t.bilibili.com/437352980703671933  2020-10-01 17:21:00  1st: 裙子 , 2nd:  , 3rd:  
https://t.bilibili.com/435932476104849539  2020-10-01 18:00:00  1st: 新款 iPad Air  , 2nd:  , 3rd:  
https://t.bilibili.com/438410874097950132  2020-10-01 18:00:00  1st: B站全年大会员 , 2nd: 测试激活码 , 3rd: 限定鼠标垫 
https://t.bilibili.com/438563843654827224  2020-10-01 20:10:00  1st: 傲风宝可梦电竞椅 , 2nd:  , 3rd:  
https://t.bilibili.com/438941220955544627  2020-10-01 20:30:00  1st: 傲风宝可梦电竞椅（款式自选） , 2nd:  , 3rd:  
https://t.bilibili.com/430412601317281313  2020-10-01 21:30:00  1st: JDG全队签名明信片+全套周边 , 2nd: JDG周边福袋 , 3rd: JOY公仔 
https://t.bilibili.com/430412601317281313  2020-10-01 21:30:00  1st: 送500现金红包或者OB你一局排位 , 2nd: 100元现金红包 , 3rd: 1元红包体验下中奖的感觉 
https://t.bilibili.com/437857785386594220  2020-10-01 22:30:00  1st: 拜雅 乐谷 蓝牙降噪耳机*1 , 2nd:  , 3rd:  
https://t.bilibili.com/429707324733162753  2020-10-01 23:20:00  1st: 9980hk魔改U , 2nd:  , 3rd:  
https://t.bilibili.com/429707324733162753  2020-10-01 23:20:00  1st: 3500x , 2nd:  , 3rd:  
https://t.bilibili.com/437802638008233326  2020-10-02 07:00:00  1st: 919会员购三周年限定游戏键鼠礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/437802638008233326  2020-10-02 07:00:00  1st: 技嘉AORUS全家桶 , 2nd: 技嘉AORUS M3鼠标 , 3rd:  
https://t.bilibili.com/435446388885086436  2020-10-02 12:00:00  1st: iPad Air 4 , 2nd:  , 3rd:  
https://t.bilibili.com/438870491435747210  2020-10-02 12:00:00  1st: 小电视兔子包 , 2nd:  , 3rd:  
https://t.bilibili.com/435446388885086436  2020-10-02 12:00:00  1st: 哔哩哔哩月饼礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/438828396462153977  2020-10-02 12:00:00  1st: 叠纸中秋礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/438884497324163902  2020-10-02 13:00:00  1st: 派蒙抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/439206499608417811  2020-10-02 13:42:00  1st: 月饼礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/437792738106454170  2020-10-02 14:00:00  1st: 派蒙抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/438812818609388823  2020-10-02 16:00:00  1st: 超值观赛大礼包 , 2nd:  , 3rd:  
https://t.bilibili.com/438789054555263669  2020-10-02 18:00:00  1st: 周边抱枕 , 2nd: 周边立牌 , 3rd:  
https://t.bilibili.com/438901024353188033  2020-10-02 18:00:00  1st: 《我的青春恋爱物语果然有问题。完》大海报 , 2nd:  , 3rd:  
https://t.bilibili.com/438398882551324983  2020-10-02 19:30:00  1st: 20人平分10000元现金大奖 , 2nd:  , 3rd:  
https://t.bilibili.com/438817401342666378  2020-10-03 01:00:00  1st: 现金3400人民币 , 2nd:  , 3rd:  
https://t.bilibili.com/438516525999924242  2020-10-03 15:00:00  1st: 傲风X哔哩哔哩电竞联名电竞椅 , 2nd:  , 3rd:  
https://t.bilibili.com/437407943398264190  2020-10-03 17:00:00  1st: 斯派克背包 , 2nd: 里昂包挂 , 3rd:  
https://t.bilibili.com/439193369897495330  2020-10-03 18:00:00  1st: 周边T恤 , 2nd: 周边鼠标垫 , 3rd:  
https://t.bilibili.com/438905830421632755  2020-10-03 18:00:00  1st: 天秤座装扮 , 2nd:  , 3rd:  
https://t.bilibili.com/429291735113915966  2020-10-03 22:00:00  1st: 小米10 Pro (以实物为准) , 2nd: 飞智八爪鱼2游戏手柄 , 3rd:  
https://t.bilibili.com/429291735113915966  2020-10-03 22:00:00  1st: 华为FreeBuds 3无线耳机 , 2nd:  , 3rd:  
https://t.bilibili.com/438916323027862669  2020-10-03 23:59:00  1st: 哔哩哔哩马克杯 , 2nd:  , 3rd:  
